year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target,datetime,NO2_sat_flag,HCHO_sat_flag,ratio_sat_flag,O3_target_lag1,O3_target_lag24,O3_target_lag168,NO2_target_lag1,NO2_target_lag24,NO2_target_lag168
2019,7,10,0,30.78,37.27,6.15,21.29,-0.24,1.04,1.91,0.41,1.62,0.25,15.28,20.82,2019-07-10 00:00:00,1,1,1,,,,,,
2019,7,10,1,28.8,36.29,6.25,19.67,-1.13,1.09,2.14,0.41,1.62,0.25,12.12,25.02,2019-07-10 01:00:00,1,1,1,15.28,,,20.82,,
2019,7,10,2,26.81,35.31,6.75,18.05,-2.02,1.14,2.38,0.41,1.62,0.25,12.6,27.98,2019-07-10 02:00:00,1,1,1,12.12,,,25.02,,
2019,7,10,3,24.83,34.33,8.61,16.43,-2.91,1.18,2.61,0.41,1.62,0.25,17.52,25.3,2019-07-10 03:00:00,1,1,1,12.6,,,27.98,,
2019,7,10,4,28.32,26.18,6.5,16.0,-2.59,0.98,2.94,0.41,1.62,0.25,23.38,24.57,2019-07-10 04:00:00,1,1,1,17.52,,,25.3,,
2019,7,10,5,31.8,18.02,7.67,15.56,-2.27,0.77,3.26,0.41,1.62,0.25,34.48,16.38,2019-07-10 05:00:00,1,1,1,23.38,,,24.57,,
2019,7,10,6,35.29,9.87,6.07,15.13,-1.94,0.57,3.59,0.41,1.62,0.25,43.08,11.12,2019-07-10 06:00:00,1,1,1,34.48,,,16.38,,
2019,7,10,7,32.89,17.56,6.01,15.17,-2.0,0.37,3.17,0.41,1.62,0.25,42.45,7.9,2019-07-10 07:00:00,1,1,1,43.08,,,11.12,,
2019,7,10,8,30.48,25.25,6.52,15.21,-2.05,0.17,2.75,0.41,1.62,0.25,42.95,11.0,2019-07-10 08:00:00,1,1,1,42.45,,,7.9,,
2019,7,10,9,28.08,32.94,8.93,15.26,-2.1,-0.03,2.33,0.41,1.62,0.25,45.8,9.85,2019-07-10 09:00:00,1,1,1,42.95,,,11.0,,
2019,7,10,10,28.88,38.75,8.75,15.85,-1.9,-0.26,2.64,0.41,1.62,0.25,53.53,9.88,2019-07-10 10:00:00,1,1,1,45.8,,,9.85,,
2019,7,10,11,29.68,44.56,13.33,16.44,-1.71,-0.49,2.95,0.41,1.62,0.25,57.4,8.53,2019-07-10 11:00:00,1,1,1,53.53,,,9.88,,
2019,7,10,12,30.47,50.38,14.29,17.03,-1.51,-0.72,3.26,0.41,1.62,0.25,43.23,17.38,2019-07-10 12:00:00,1,1,1,57.4,,,8.53,,
2019,7,10,13,21.14,60.38,12.01,18.12,-1.21,-0.18,2.48,0.41,1.62,0.25,42.2,13.27,2019-07-10 13:00:00,1,1,1,43.23,,,17.38,,
2019,7,10,14,11.81,70.38,9.81,19.22,-0.91,0.37,1.71,0.41,1.62,0.25,20.2,42.5,2019-07-10 14:00:00,1,1,1,42.2,,,13.27,,
2019,7,10,15,2.48,80.38,9.01,20.31,-0.62,0.92,0.93,0.41,1.62,0.25,9.12,52.3,2019-07-10 15:00:00,1,1,1,20.2,,,42.5,,
2019,7,10,16,11.86,68.1,9.88,20.04,-0.58,1.13,0.92,0.41,1.62,0.25,5.55,52.05,2019-07-10 16:00:00,1,1,1,9.12,,,52.3,,
2019,7,10,17,21.24,55.81,9.83,19.76,-0.54,1.33,0.91,0.41,1.62,0.25,3.35,51.43,2019-07-10 17:00:00,1,1,1,5.55,,,52.05,,
2019,7,10,18,30.62,43.53,15.29,19.48,-0.5,1.54,0.9,0.41,1.62,0.25,1.7,50.45,2019-07-10 18:00:00,1,1,1,3.35,,,51.43,,
2019,7,10,19,31.94,45.79,14.47,19.46,-1.59,1.64,0.46,0.41,1.62,0.25,3.2,44.15,2019-07-10 19:00:00,1,1,1,1.7,,,50.45,,
2019,7,10,20,33.26,48.05,14.91,19.44,-2.69,1.73,0.02,0.41,1.62,0.25,10.1,25.48,2019-07-10 20:00:00,1,1,1,3.2,,,44.15,,
2019,7,10,21,34.58,50.31,13.71,19.41,-3.78,1.83,-0.43,0.41,1.62,0.25,4.3,40.9,2019-07-10 21:00:00,1,1,1,10.1,,,25.48,,
2019,7,10,22,32.4,44.87,13.39,19.33,-3.45,1.62,0.22,0.41,1.62,0.25,12.3,18.38,2019-07-10 22:00:00,1,1,1,4.3,,,40.9,,
2019,7,10,23,30.23,39.42,13.19,19.25,-3.13,1.4,0.87,0.41,1.62,0.25,15.55,14.03,2019-07-10 23:00:00,1,1,1,12.3,,,18.38,,
2019,7,11,0,28.06,33.97,12.78,19.17,-2.81,1.19,1.52,0.17,1.39,0.12,15.05,12.1,2019-07-11 00:00:00,1,1,1,15.55,15.28,,14.03,20.82,
2019,7,11,1,19.94,40.14,13.91,19.68,-2.4,0.68,1.19,0.17,1.39,0.12,9.6,22.57,2019-07-11 01:00:00,1,1,1,15.05,12.12,,12.1,25.02,
2019,7,11,2,11.82,46.32,16.36,20.18,-1.99,0.17,0.86,0.17,1.39,0.12,7.35,19.77,2019-07-11 02:00:00,1,1,1,9.6,12.6,,22.57,27.98,
2019,7,11,3,3.7,52.49,16.67,20.68,-1.58,-0.34,0.52,0.17,1.39,0.12,9.65,19.27,2019-07-11 03:00:00,1,1,1,7.35,17.52,,19.77,25.3,
2019,7,11,4,2.98,58.74,14.7,20.88,-1.33,-0.05,0.76,0.17,1.39,0.12,15.3,14.55,2019-07-11 04:00:00,1,1,1,9.65,23.38,,19.27,24.57,
2019,7,11,5,2.26,65.0,14.62,21.07,-1.08,0.24,1.0,0.17,1.39,0.12,23.3,7.42,2019-07-11 05:00:00,1,1,1,15.3,34.48,,14.55,16.38,
2019,7,11,6,1.54,71.25,14.4,21.26,-0.83,0.52,1.24,0.17,1.39,0.12,28.95,8.22,2019-07-11 06:00:00,1,1,1,23.3,43.08,,7.42,11.12,
2019,7,11,7,1.05,77.43,14.21,21.11,-1.66,0.31,0.94,0.17,1.39,0.12,37.05,7.37,2019-07-11 07:00:00,1,1,1,28.95,42.45,,8.22,7.9,
2019,7,11,8,0.56,83.61,15.1,20.96,-2.49,0.09,0.65,0.17,1.39,0.12,43.65,7.78,2019-07-11 08:00:00,1,1,1,37.05,42.95,,7.37,11.0,
2019,7,11,9,0.07,89.79,15.6,20.81,-3.32,-0.12,0.35,0.17,1.39,0.12,46.42,14.7,2019-07-11 09:00:00,1,1,1,43.65,45.8,,7.78,9.85,
2019,7,11,10,7.37,77.72,14.16,21.1,-2.79,0.08,0.55,0.17,1.39,0.12,52.2,11.47,2019-07-11 10:00:00,1,1,1,46.42,53.53,,14.7,9.88,
2019,7,11,11,14.67,65.66,12.31,21.4,-2.25,0.28,0.74,0.17,1.39,0.12,55.95,7.85,2019-07-11 11:00:00,1,1,1,52.2,57.4,,11.47,8.53,
2019,7,11,12,21.97,53.6,12.49,21.7,-1.72,0.48,0.93,0.17,1.39,0.12,55.12,9.15,2019-07-11 12:00:00,1,1,1,55.95,43.23,,7.85,17.38,
2019,7,11,13,14.65,71.89,10.86,21.89,-1.75,0.48,0.82,0.17,1.39,0.12,49.62,12.38,2019-07-11 13:00:00,1,1,1,55.12,42.2,,9.15,13.27,
2019,7,11,14,7.32,90.18,15.13,22.08,-1.77,0.48,0.72,0.17,1.39,0.12,37.65,24.95,2019-07-11 14:00:00,1,1,1,49.62,20.2,,12.38,42.5,
2019,7,11,15,0.0,108.47,14.97,22.27,-1.8,0.48,0.61,0.17,1.39,0.12,14.1,48.55,2019-07-11 15:00:00,1,1,1,37.65,9.12,,24.95,52.3,
2019,7,11,16,7.5,84.53,13.39,21.88,-1.99,0.52,0.98,0.17,1.39,0.12,8.27,50.28,2019-07-11 16:00:00,1,1,1,14.1,5.55,,48.55,52.05,
2019,7,11,17,14.99,60.58,15.39,21.49,-2.17,0.56,1.35,0.17,1.39,0.12,17.5,39.72,2019-07-11 17:00:00,1,1,1,8.27,3.35,,50.28,51.43,
2019,7,11,18,22.49,36.64,12.24,21.1,-2.36,0.61,1.72,0.17,1.39,0.12,14.5,39.38,2019-07-11 18:00:00,1,1,1,17.5,1.7,,39.72,50.45,
2019,7,11,19,28.05,33.57,12.22,21.16,-2.36,-0.04,1.84,0.17,1.39,0.12,9.88,37.58,2019-07-11 19:00:00,1,1,1,14.5,3.2,,39.38,44.15,
2019,7,11,20,33.62,30.51,13.7,21.22,-2.36,-0.68,1.95,0.17,1.39,0.12,7.6,26.4,2019-07-11 20:00:00,1,1,1,9.88,10.1,,37.58,25.48,
2019,7,11,21,39.18,27.44,14.61,21.28,-2.35,-1.32,2.07,0.17,1.39,0.12,2.7,31.2,2019-07-11 21:00:00,1,1,1,7.6,4.3,,26.4,40.9,
2019,7,11,22,29.06,35.21,14.94,21.11,-2.09,-0.87,1.82,0.17,1.39,0.12,3.98,31.82,2019-07-11 22:00:00,1,1,1,2.7,12.3,,31.2,18.38,
2019,7,11,23,18.94,42.97,16.16,20.93,-1.82,-0.41,1.56,0.17,1.39,0.12,8.62,15.4,2019-07-11 23:00:00,1,1,1,3.98,15.55,,31.82,14.03,
2019,7,12,0,8.82,50.74,17.56,20.75,-1.56,0.05,1.31,0.27,0.01,21.92,10.03,11.8,2019-07-12 00:00:00,1,1,1,8.62,15.05,,15.4,12.1,
2019,7,12,1,15.94,46.54,16.02,20.38,-1.57,-0.32,0.85,0.27,0.01,21.92,7.55,14.97,2019-07-12 01:00:00,1,1,1,10.03,9.6,,11.8,22.57,
2019,7,12,2,23.07,42.34,17.8,20.01,-1.59,-0.69,0.4,0.27,0.01,21.92,3.3,23.23,2019-07-12 02:00:00,1,1,1,7.55,7.35,,14.97,19.77,
2019,7,12,3,30.19,38.14,18.89,19.63,-1.61,-1.06,-0.06,0.27,0.01,21.92,4.0,20.38,2019-07-12 03:00:00,1,1,1,3.3,9.65,,23.23,19.27,
2019,7,12,4,33.24,35.88,17.6,19.76,-1.95,-0.72,-0.18,0.27,0.01,21.92,11.22,11.3,2019-07-12 04:00:00,1,1,1,4.0,15.3,,20.38,14.55,
2019,7,12,5,36.28,33.62,20.03,19.88,-2.3,-0.37,-0.29,0.27,0.01,21.92,15.45,6.78,2019-07-12 05:00:00,1,1,1,11.22,23.3,,11.3,7.42,
2019,7,12,6,39.33,31.37,19.77,20.01,-2.65,-0.03,-0.41,0.27,0.01,21.92,19.02,6.35,2019-07-12 06:00:00,1,1,1,15.45,28.95,,6.78,8.22,
2019,7,12,7,33.37,32.37,16.09,20.04,-1.96,-0.32,-0.37,0.27,0.01,21.92,23.52,8.82,2019-07-12 07:00:00,1,1,1,19.02,37.05,,6.35,7.37,
2019,7,12,8,27.41,33.38,16.49,20.07,-1.27,-0.61,-0.33,0.27,0.01,21.92,28.33,9.15,2019-07-12 08:00:00,1,1,1,23.52,43.65,,8.82,7.78,
