datetime,NO2_target,O3_target,Year,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,sin_hour,cos_hour,day_of_week,is_weekend,day_of_year,SZA_deg,cosSZA,solar_elevation,cams_hourly_aluvd,cams_hourly_aluvp,photochem_index,wind_speed,wind_dir_deg,wind_sector,era5_t2m,era5_d2m,era5_tcc,era5_u10,era5_v10,era5_blh,RH,NO2_satellite_daily,HCHO_satellite_daily,ratio_satellite_daily,NO2_satellite_delta,ratio_ground,cams_hourly_co,cams_hourly_hcho,cams_hourly_no2,cams_hourly_no,cams_hourly_go3,cams_hourly_so2,cams_hourly_tcco,cams_hourly_tchcho,cams_hourly_tcno2,cams_hourly_tc_no,cams_hourly_gtco3,cams_hourly_tcso2,cams_hourly_bcaod550,cams_hourly_pm1,cams_hourly_pm2p5,cams_hourly_pm10,cams_hourly_sp,cams_hourly_aod550,cams_hourly_no2_delta,cams_hourly_go3_delta,NO2_target_lag1,NO2_target_lag24,O3_target_lag1,sunset_flag,NO2_satellite_daily_filled_broadcast,HCHO_satellite_daily_filled_broadcast,ratio_satellite_daily_filled_broadcast
2019-07-10,13.48,6.67,2019.0,1.76,77.59,6.37,21.35,-1.09,0.69,1.91,0.0,1.0,2.0,0.0,191.0,129.0408645645147,-0.6298745079138821,-39.0408645645147,0.1200335,0.11149746,-0.0756060417456809,1.290038759107648,122.33493623495764,3.0,301.50806,300.4336,0.8856496,-1.5789385,0.18544465,84.738205,93.9192797358692,0.17,1.82,0.2,0.0,12.226943256684228,7.00835e-07,4.2657553e-09,5.2157148e-08,1.0105071e-08,1.8544021e-09,3.567017e-08,0.0010506648,7.3074525e-06,1.2710522e-05,2.4382462e-07,0.0061659105,9.743493e-06,0.025041416,1.2371964e-07,2.1465593e-07,2.746616e-07,96887.875,2.0424929,-6.1420473333333305e-09,2.2329208e-09,25.7,20.12,1.78,1.0,0.5094568121693127,1.82,0.7250703174603172
2019-07-11,13.25,4.25,2019.0,25.89,39.94,12.12,19.25,-2.92,1.32,1.72,0.0,1.0,3.0,0.0,192.0,129.17213879892853,-0.6316523959374045,-39.172138798928536,0.119764745,0.11110449,-0.0756496881280822,3.2044968403791567,114.32557523912612,3.0,304.0432,298.87964,1.0,2.9090261,1.2917538,579.8513,74.05059192199272,0.17,0.85,0.2,0.0,8.33333683611678,5.549213e-07,3.0927785e-09,2.5773165e-08,3.1452952e-08,1.0483427e-08,2.903107e-08,0.00095334137,7.0128135e-06,1.1576081e-05,9.993091e-07,0.0061171055,1.2015912e-05,0.02214092,1.3695444e-07,2.8101715e-07,4.0713405e-07,96748.31,2.3251457,-6.1420473333333305e-09,2.2329208e-09,37.75,17.5,2.83,1.0,0.17,0.85,0.2
2019-07-12,17.1,2.98,2019.0,3.98,65.69,17.66,20.64,-1.35,0.51,0.85,0.0,1.0,4.0,0.0,193.0,129.3099612428351,-0.6335154001934262,-39.3099612428351,0.11949599,0.110711634,-0.0757025499263596,1.4431216164966834,110.69545073406329,2.0,304.02148,294.52368,0.37983388,1.7490158,0.5477087,349.35425,57.02157311701828,0.24,1.05,0.23,0.0,11.111045170763743,3.1698366e-07,2.323649e-09,2.5818169e-08,6.524557e-09,1.6103375e-08,2.1260398e-08,0.0010330372,6.569888e-06,1.656593e-05,1.8477349e-06,0.006063357,1.3905676e-05,0.022413574,1.460856e-07,2.928624e-07,4.40414e-07,96976.25,2.7612438,-4.544973666666681e-09,2.4420904999999987e-09,18.97,38.47,5.52,1.0,0.24,1.05,0.23
2019-07-13,11.43,4.55,2019.0,0.53,76.93,23.39,21.17,1.43,-1.92,-0.29,0.0,1.0,5.0,1.0,194.0,129.45429105646974,-0.6354624377811001,-39.45429105646976,0.11922717,0.11031878,-0.0757643880979416,2.3940133667128927,323.3215662346669,7.0,305.313,293.83862,0.34584165,2.7133732,-0.39504182,606.96265,50.80305879098803,0.2816666666666667,0.955,0.23,0.0,9.473128254424644,3.2407456e-07,2.2160023e-09,2.0992474e-08,9.041924e-09,2.1052617e-08,1.8981977e-08,0.00090785907,4.894041e-06,1.602323e-05,3.304468e-06,0.006020285,1.1067342e-05,0.017743226,1.1666765e-07,2.1802305e-07,3.130803e-07,97114.31,1.99862,-3.216939333333334e-09,1.27635e-09,46.33,19.75,20.55,1.0,0.2816666666666667,0.955,0.23
2019-07-14,14.98,5.1,2019.0,0.12,61.93,22.54,19.88,1.5,0.34,0.92,0.0,1.0,6.0,1.0,195.0,129.60508547179387,-0.6374923766269499,-39.605085471793885,0.1189605,0.10992789,-0.0758364118697302,1.5380507143784303,257.22875743509854,6.0,305.1267,294.95825,0.016651168,1.3226137,0.6154841,311.27856,54.99071158074613,0.3233333333333333,1.0666666666666667,0.23,0.0,16.070780351380087,5.381913e-07,2.8988723e-09,4.658714e-08,2.1998929e-08,5.1377045e-09,3.2456153e-08,0.0008786516,5.6955523e-06,1.2885117e-05,1.7502289e-06,0.0060440376,9.825906e-06,0.014883567,1.4386791e-07,2.966783e-07,4.2580223e-07,97001.44,2.177781,7.504906666666655e-10,1.7006083333333346e-10,16.88,46.05,15.18,1.0,0.3233333333333333,1.0666666666666669,0.23
2019-07-15,6.2,16.77,2019.0,0.16,51.81,22.17,16.0,0.6,-1.66,-0.26,0.0,1.0,0.0,0.0,196.0,129.7622998051678,-0.6396040361340901,-39.7622998051678,0.11869174,0.10953498,-0.075915715959778,1.765106229097841,340.1278241807561,0.0,301.00537,297.17456,0.4429387,-2.8408194,0.22410047,202.91513,79.70649461069411,0.365,1.1783333333333332,0.23,0.0,4.428705545771487,1.6495926e-06,4.6648965e-09,2.0659453e-08,1.152202e-07,1.2490942e-08,4.6108138e-08,0.00096138264,6.142124e-06,1.007527e-05,5.474534e-06,0.0061541274,1.0041171e-05,0.017821934,1.8385356e-07,3.240354e-07,4.52733e-07,96937.31,2.5840979,-5.822107666666673e-09,2.810520833333334e-09,16.85,14.18,14.3,1.0,0.365,1.1783333333333332,0.23
2019-07-16,5.33,15.4,2019.0,0.0,98.99,27.4,21.36,1.1,-1.15,2.27,0.0,1.0,1.0,0.0,197.0,129.92588747059156,-0.6417961878676481,-39.92588747059157,0.11823523,0.109060824,-0.0758829198856545,1.5913830462839549,316.2730300200567,7.0,298.9392,297.30762,0.6227434,-3.8421078,0.14481372,264.89795,90.72851237886348,0.4066666666666666,1.29,0.23,0.0,9.635213207624489,5.135065e-07,4.1996833e-09,4.0464844e-08,1.0329311e-09,1.543139e-08,2.8891453e-08,0.0009281633,6.5354716e-06,1.5656391e-05,1.04057676e-07,0.0061322153,1.0989766e-05,0.019129168,1.4099197e-07,3.0433063e-07,4.147949e-07,97204.125,2.4721193,-2.927735333333342e-09,2.1518233333332967e-10,9.55,17.1,4.33,1.0,0.4066666666666666,1.29,0.23
2019-07-17,19.77,8.17,2019.0,9.13,88.16,26.63,20.79,-1.56,0.24,2.18,0.0,1.0,2.0,0.0,198.0,130.09579999350942,-0.6440675562769429,-40.09579999350941,0.11777669,0.108588755,-0.075856144914687,1.5783535725559086,98.74616226255525,2.0,298.35767,297.71948,0.4575498,-1.9275475,0.5997041,155.3347,96.26340290338658,0.4483333333333333,1.605,0.23,0.0,9.478642392509936,5.3733663e-07,4.2612287e-09,4.0390663e-08,1.0104629e-09,1.1904213e-08,2.5794e-08,0.0009953766,7.013122e-06,1.237444e-05,7.4238415e-08,0.0061356165,8.743857e-06,0.017205752,1.1995093e-07,2.3439429e-07,3.2154122e-07,97508.375,2.1061792,-3.712259e-09,-7.280549999999991e-10,9.0,6.83,18.07,1.0,0.4483333333333333,1.605,0.23
2019-07-18,12.53,15.08,2019.0,15.72,92.9,27.07,21.1,0.99,-0.82,0.65,0.0,1.0,3.0,0.0,199.0,130.27198702517373,-0.6464168194549627,-40.27198702517372,0.11732024,0.10811734,-0.0758377763984928,1.285496013218244,309.6343690733602,7.0,299.0586,298.1892,0.98982936,-0.53452355,0.27600586,53.4832,94.96585036584445,0.49,1.92,0.23,0.0,11.127744020359586,7.794458e-07,4.5382453e-09,5.0500432e-08,1.5821819e-08,1.5825457e-09,3.2837306e-08,0.0009486745,6.2948466e-06,1.1189942e-05,1.2835662e-06,0.0061816126,6.6492266e-06,0.016730472,1.4579359e-07,2.5319645e-07,3.4471913e-07,97497.75,1.6009903,-3.059992666666664e-09,-2.1754233333333303e-10,16.23,22.48,10.25,1.0,0.49,1.92,0.23
2019-07-19,20.365,9.48,2019.0,7.989999999999999,69.4,24.634999999999998,18.43,1.06,-1.265,1.665,0.0,1.0,4.0,0.5,200.0,130.45748048201705,-0.6488801674922489,-40.45748048201702,0.116862715,0.10764423000000001,-0.0758287710394881,1.6675650634539034,318.0884473868985,7.0,300.8634,299.16125,0.80610323,-1.4066946750000002,0.5748381300000001,105.61918499999999,90.62435890680018,0.4825,1.9566666666666666,0.2525,0.0,9.730112857113463,9.919728e-07,5.18467565e-09,4.9544008e-08,3.02399565e-08,1.29592455e-09,3.71433495e-08,0.0009452824,6.2276263e-06,1.1650701e-05,1.60370515e-06,0.006208816549999999,8.2359473e-06,0.0191031245,1.5556833e-07,2.51606395e-07,3.3801882500000003e-07,97504.405,1.4867949500000002,-5.800053666666674e-09,-5.420613499999997e-10,14.254999999999999,15.465,6.86,1.0,0.4825,1.9566666666666663,0.2525
